
================================================================================
       Solver:RDA    Version: 0.1 (2023-05-02)  
================================================================================
Problem Summary: Excuted at 2023-05-04 11:55:08.180855
Dataset:.............................................a9a
Data Size:......................................n=32561, p=123
Loss Function:..................................Logistic
Regularizer:....................................Overlapping Group L1
Penalty Parameter:..............................lambda=0.0036
Number of groups:..............................14

Algorithm Parameters:
 Termination Conditions:
    accuracy: -1.0 | optim scaled: True | time limits:43200.0 | epoch limits:100
 Sampling Setups: batchsize: 256 | shuffle: True
 Proximal Stepsize update: increasing
 Compute Optimality measure: True
Inexact Proximal Solver:
 exact solve:False | ipg_strategy:diminishing | ipg_do_linesearch:True
 ipg_diminishing_c:1 | ipg_diminishing_delta:2
 ipg_linesearch_eta:0.0001 | ipg_linesearch_xi:0.8 | ipg_linesearch_beta:1.2
****************************************************************************************************
 Epoch.   Obj.    alphak      #z   #nz   |egradf| |   optim     #pz    #pnz |
     0 6.931e-01 1.000e+02    14     0  1.813e-01 | 1.487e-01     0     14  |
     1 5.092e-01 1.136e+03    12     2  3.319e-03 | 4.522e-03    12      2  |
     2 5.087e-01 1.603e+03    12     2  4.254e-03 | 2.696e-03    12      2  |
     3 5.086e-01 1.962e+03    12     2  5.947e-03 | 3.768e-03    12      2  |
     4 5.086e-01 2.265e+03    12     2  4.017e-03 | 2.641e-03    12      2  |
     5 5.088e-01 2.532e+03    12     2  6.612e-03 | 6.303e-03    12      2  |
     6 5.088e-01 2.773e+03    12     2  9.159e-03 | 5.417e-03    13      1  |
     7 5.084e-01 2.995e+03    12     2  1.322e-03 | 1.487e-03    12      2  |
     8 5.084e-01 3.202e+03    12     2  1.489e-03 | 1.192e-03    12      2  |
     9 5.084e-01 3.396e+03    12     2  1.490e-03 | 1.133e-03    12      2  |
    10 5.084e-01 3.579e+03    12     2  1.435e-03 | 1.205e-03    12      2  |
    11 5.084e-01 3.754e+03    12     2  2.694e-03 | 1.793e-03    12      2  |
    12 5.084e-01 3.920e+03    12     2  2.891e-03 | 3.006e-03    12      2  |
    13 5.084e-01 4.080e+03    12     2  1.678e-03 | 1.949e-03    12      2  |
    14 5.084e-01 4.234e+03    12     2  9.178e-04 | 1.033e-03    12      2  |
    15 5.083e-01 4.383e+03    12     2  1.477e-03 | 9.454e-04    12      2  |
